City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
163,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,67,20,8.99,few clouds
164,Dunedin,NZ,-45.8742,170.5036,45.52,86,7,3.58,clear sky
165,Sao Filipe,CV,14.8961,-24.4956,73.94,74,26,13.35,scattered clouds
166,Ca Mau,VN,9.1769,105.15,80.83,76,9,6.13,clear sky
167,Kudahuvadhoo,MV,2.6708,72.8944,81.99,69,83,0.54,broken clouds
168,Eureka,US,40.8021,-124.1637,51.93,89,100,4.0,overcast clouds
169,Athmallik,IN,20.7219,84.5348,94.26,25,84,4.47,broken clouds
170,Pisco,PE,-13.7,-76.2167,78.85,78,8,5.75,smoke
171,Mahebourg,MU,-20.4081,57.7,81.25,74,40,3.44,scattered clouds
172,Acarau,BR,-2.8856,-40.12,83.08,73,100,9.82,overcast clouds
173,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,21,0,9.22,clear sky
174,Ciudad Bolivar,VE,8.1222,-63.5497,87.04,42,38,14.07,scattered clouds
175,Hamilton,US,39.1834,-84.5333,47.25,62,0,11.5,clear sky
176,Lasa,IT,46.6166,10.7002,54.48,66,100,1.14,overcast clouds
177,Speightstown,BB,13.25,-59.65,84.81,74,100,18.43,overcast clouds
178,Beringovskiy,RU,63.05,179.3167,-1.07,94,99,7.87,overcast clouds
179,Nikolskoye,RU,59.7035,30.7861,49.89,77,70,5.19,broken clouds
180,Namatanai,PG,-3.6667,152.4333,78.67,87,98,5.7,light rain
181,Honiara,SB,-9.4333,159.95,78.21,88,50,3.22,scattered clouds
182,Kangaatsiaq,GL,68.3065,-53.4641,2.48,81,71,8.68,broken clouds
183,Ucluelet,CA,48.9329,-125.5528,43.11,93,89,3.47,overcast clouds
184,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,84.9,61,100,8.16,overcast clouds
185,Pirgos,GR,35.1167,25.7178,58.86,62,84,7.43,broken clouds
186,Aguada De Pasajeros,CU,22.385,-80.8508,82.36,47,2,12.41,clear sky
187,Merauke,ID,-8.4667,140.3333,78.64,88,100,5.7,overcast clouds
188,Aguas Vermelhas,BR,-15.7472,-41.46,85.82,40,48,5.19,scattered clouds
189,Iisalmi,FI,63.5592,27.1907,37.8,93,49,4.85,scattered clouds
190,Ilulissat,GL,69.2167,-51.1,17.62,62,20,10.36,few clouds
191,Kolvereid,NO,64.8655,11.6047,42.03,80,96,9.53,overcast clouds
192,Trairi,BR,-3.2778,-39.2689,84.34,68,79,9.55,broken clouds
193,Chantada,ES,42.6088,-7.7712,75.69,31,100,5.44,overcast clouds
194,Kencong,ID,-8.2833,113.3667,77.25,82,100,2.35,overcast clouds
195,Shirvan,AZ,39.9509,48.8994,72.1,34,54,2.37,broken clouds
196,Matongo,TZ,-2.3833,34.0833,75.9,64,62,4.56,light rain
197,Fortuna,US,40.5982,-124.1573,51.66,55,100,8.99,overcast clouds
198,Jacareacanga,BR,-6.2222,-57.7528,73.69,93,100,1.54,overcast clouds
199,Ahipara,NZ,-35.1667,173.1667,61.99,83,100,6.22,overcast clouds
200,Vostok,RU,46.4856,135.8833,26.17,82,75,3.51,broken clouds
201,East London,ZA,-33.0153,27.9116,72.54,68,75,21.85,broken clouds
202,Monroe,US,43.1501,-77.6831,39.58,60,75,18.41,broken clouds
203,Aklavik,CA,68.2191,-135.0107,4.6,95,100,13.8,overcast clouds
204,Oranjemund,NA,-28.55,16.4333,66.15,69,4,16.67,clear sky
205,Mangochi,MW,-14.4782,35.2645,75.22,78,61,2.28,broken clouds
206,Suchedniow,PL,51.0478,20.8292,45.37,94,100,7.34,overcast clouds
207,Sabancuy,MX,18.9667,-91.1833,78.8,70,1,10.22,clear sky
208,Kloulklubed,PW,7.0419,134.2556,82.6,61,100,13.47,overcast clouds
209,Levokumskoye,RU,44.8219,44.6606,64.22,39,100,3.53,overcast clouds
210,Nalhati,IN,24.3,87.8167,88.81,12,3,6.2,clear sky
211,Naze,JP,28.3667,129.4833,59.92,74,84,18.79,broken clouds
212,Brattleboro,US,42.8509,-72.5579,53.28,45,45,4.0,scattered clouds
213,Mwinilunga,ZM,-11.7358,24.4293,72.25,77,91,4.9,light rain
214,Arlit,NE,18.7369,7.3853,103.84,5,52,11.45,broken clouds
215,East Wenatchee Bench,US,47.4257,-120.2812,47.48,95,100,3.44,overcast clouds
216,Demyansk,RU,57.643,32.466,50.02,49,7,7.7,clear sky
217,Arica,CL,-18.475,-70.3042,77.23,69,100,5.75,overcast clouds
218,Katsuura,JP,35.1333,140.3,64.98,93,100,34.25,light rain
219,Kruisfontein,ZA,-34.0033,24.7314,73.89,65,4,22.44,clear sky
220,Qaanaaq,GL,77.484,-69.3632,-14.08,75,0,5.14,clear sky
221,Calama,CL,-22.4667,-68.9333,64.89,36,0,13.8,clear sky
222,Black River,JM,18.0264,-77.8487,82.42,52,0,7.81,clear sky
223,Narsaq,GL,60.9167,-46.05,39.42,55,6,3.67,clear sky
224,Seoul,KR,37.5683,126.9778,42.24,45,0,4.61,clear sky
225,Fillan,NO,63.6064,8.9696,45.84,66,77,6.17,broken clouds
226,Bowen,AU,-20.0167,148.2333,80.56,83,31,13.04,scattered clouds
227,Jalu,LY,29.0331,21.5482,80.26,22,46,10.63,scattered clouds
228,Sisimiut,GL,66.9395,-53.6735,17.11,48,90,5.01,overcast clouds
229,Kuytun,RU,54.3419,101.5036,34.79,70,17,5.77,few clouds
230,Awbari,LY,26.5921,12.7805,87.96,14,99,7.74,overcast clouds
231,Nata,PA,8.3333,-80.5167,82.27,53,42,13.06,scattered clouds
232,Lagoa,PT,39.05,-27.9833,55.27,54,20,13.56,few clouds
233,Namibe,AO,-15.1961,12.1522,81.23,70,74,9.01,broken clouds
234,Kapuskasing,CA,49.4169,-82.4331,17.69,57,20,13.8,few clouds
235,Ancud,CL,-41.8697,-73.8203,52.93,76,85,3.53,overcast clouds
236,Saldanha,ZA,-33.0117,17.9442,66.25,87,99,18.66,overcast clouds
237,Liverpool,GB,53.4106,-2.9779,59.14,44,20,10.36,few clouds
238,Kaitangata,NZ,-46.2817,169.8464,46.92,90,7,3.98,clear sky
239,Pingliang,CN,35.5392,106.6861,48.4,42,100,7.14,overcast clouds
240,Onokhoy,RU,51.932,108.0747,33.55,42,31,1.57,scattered clouds
